iter	Passed	Remaining
409	3856	5548
410	3864	5538
411	3874	5530
412	3884	5520
413	3892	5509
414	3900	5498
415	3908	5486
416	3917	5476
417	3925	5465
418	3934	5455
419	3942	5444
420	3953	5436
421	3961	5426
422	3971	5417
423	3980	5407
424	3989	5397
425	3999	5389
426	4009	5379
427	4019	5372
428	4028	5362
429	4039	5354
430	4050	5346
431	4059	5337
432	4070	5329
433	4080	5321
434	4089	5311
435	4100	5304
436	4110	5295
437	4121	5288
438	4131	5279
439	4140	5269
440	4150	5260
441	4159	5251
442	4170	5243
443	4181	5236
444	4190	5225
445	4200	5217
446	4210	5208
447	4220	5200
448	4232	5194
449	4240	5183
450	4252	5176
451	4263	5168
452	4272	5158
453	4283	5151
454	4292	5142
455	4303	5134
456	4312	5124
457	4322	5114
458	4333	5107
459	4342	5097
460	4351	5087
461	4362	5080
462	4372	5071
463	4383	5063
464	4394	5056
465	4405	5048
466	4416	5040
467	4429	5034
468	4439	5026
469	4451	5020
470	4463	5012
471	4473	5003
472	4485	4997
473	4496	4989
474	4506	4980
475	4518	4973
476	4529	4965
477	4538	4956
478	4550	4949
479	4563	4943
480	4573	4934
481	4582	4925
482	4593	4917
483	4602	4907
484	4615	4900
485	4627	4893
486	4636	4884
487	4647	4876
488	4658	4868
489	4667	4858
490	4678	4849
491	4687	4840
492	4697	4830
493	4708	4822
494	4717	4812
495	4728	4804
496	4740	4797
497	4749	4787
498	4761	4780
499	4772	4772
500	4783	4763
501	4793	4755
502	4803	4746
503	4812	4736
504	4823	4728
505	4833	4718
506	4843	4710
507	4854	4701
508	4862	4690
509	4872	4681
510	4880	4670
511	4892	4662
512	4900	4652
513	4912	4644
514	4923	4636
515	4932	4626
516	4943	4618
517	4955	4610
518	4964	4601
519	4976	4593
520	4988	4586
521	4998	4577
522	5012	4571
523	5023	4563
524	5035	4555
525	5045	4546
526	5062	4544
527	5075	4536
528	5091	4533
529	5104	4526
530	5119	4522
531	5131	4513
532	5142	4505
533	5154	4498
534	5167	4491
535	5178	4482
536	5190	4474
537	5201	4467
538	5211	4457
539	5222	4448
540	5232	4439
541	5242	4430
542	5254	4422
543	5264	4412
544	5276	4404
545	5292	4400
546	5304	4392
547	5312	4381
548	5323	4373
549	5334	4364
550	5344	4355
551	5356	4347
552	5367	4339
553	5377	4329
554	5389	4321
555	5401	4313
556	5410	4302
557	5422	4294
558	5432	4285
559	5442	4276
560	5454	4267
561	5465	4259
562	5474	4249
563	5486	4241
564	5496	4232
565	5506	4222
566	5516	4213
567	5526	4203
568	5539	4195
